numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20170301000000;99840;150;3;250;9.200000;280.550000;277.550000;81;16520;0;mq;mq;mq;mq;mq;mq;mq;mq;98970;mq;mq;820;mq;mq;mq;mq;277.750000;mq;mq;14.700000;16.400000;-10;mq;0.000000;mq;mq;-0.100000;0.200000;1.200000;1.400000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20170301000000;99620;70;1;230;7.300000;279.150000;277.650000;90;19140;60;mq;mq;100;7;450;mq;mq;mq;99050;mq;mq;610;mq;mq;mq;mq;276.950000;mq;mq;10.200000;10.400000;-10;2;0.000000;mq;mq;-0.100000;0.200000;3.000000;6.000000;7.200000;mq;mq;mq;mq;6;mq;540;7;mq;780;7;mq;1200;mq;mq;mq;
07020;20170301000000;100170;200;1;270;11.900000;282.550000;278.150000;74;12000;2;0;mq;0;0;mq;30;20;10;100070;mq;mq;1280;mq;mq;mq;mq;mq;mq;mq;16.200000;17.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;1.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20170301000000;100260;180;2;270;8.100000;280.250000;276.850000;79;30780;0;mq;mq;mq;4;1250;mq;mq;mq;99450;mq;mq;1070;mq;mq;mq;mq;275.650000;mq;mq;11.900000;12.900000;-10;2;0.000000;mq;mq;0.000000;-0.100000;0.200000;5.400000;6.600000;mq;mq;mq;mq;1;mq;1110;4;mq;1470;mq;mq;mq;mq;mq;mq;
07037;20170301000000;100150;150;3;250;5.100000;278.450000;275.650000;82;39760;0;mq;mq;mq;0;mq;mq;mq;mq;98310;mq;mq;850;mq;mq;mq;mq;278.050000;mq;mq;7.700000;10.000000;-10;mq;0.000000;mq;mq;0.000000;0.400000;1.200000;1.200000;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20170301000000;100140;110;2;250;6.800000;279.150000;275.950000;80;20000;0;mq;mq;100;8;800;mq;mq;mq;98990;mq;mq;620;mq;mq;mq;mq;276.250000;mq;mq;10.600000;11.100000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;1.200000;5.200000;mq;mq;mq;mq;8;mq;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20170301000000;100680;80;1;260;2.800000;281.150000;279.250000;88;14270;0;mq;mq;100;8;1250;mq;mq;mq;99490;mq;mq;1250;mq;mq;mq;mq;mq;mq;mq;5.000000;6.200000;-10;2;0.000000;mq;mq;0.000000;0.200000;0.200000;2.700000;5.900000;mq;mq;mq;mq;8;mq;1350;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20170301000000;100500;160;1;260;7.700000;281.450000;278.150000;80;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99800;mq;mq;1230;mq;mq;mq;mq;mq;mq;mq;13.500000;17.500000;-10;mq;mq;mq;mq;0.200000;0.200000;0.600000;3.000000;8.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20170301000000;100680;140;1;240;5.300000;280.650000;277.950000;83;35980;0;mq;mq;100;5;800;mq;mq;mq;100230;mq;mq;1070;mq;mq;mq;mq;279.050000;mq;mq;8.700000;8.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;2.200000;mq;mq;mq;mq;2;mq;720;4;mq;930;5;mq;1170;mq;mq;mq;
07139;20170301000000;100500;180;1;230;4.600000;279.450000;276.950000;84;19810;0;mq;mq;100;8;450;mq;mq;mq;98740;mq;mq;900;mq;mq;mq;mq;278.350000;mq;mq;8.100000;9.300000;-10;1;0.000000;mq;mq;0.000000;-0.100000;1.000000;1.200000;2.800000;mq;mq;mq;mq;7;mq;570;7;mq;1110;8;mq;1320;mq;mq;mq;
07149;20170301000000;100320;120;3;230;7.300000;279.450000;275.750000;77;57360;0;0;0;90;7;800;mq;mq;mq;99230;mq;mq;730;mq;mq;mq;mq;mq;mq;mq;12.200000;12.200000;-10;2;0.000000;mq;mq;0.000000;-0.100000;0.600000;0.600000;2.800000;mq;mq;mq;mq;6;mq;780;7;mq;930;7;mq;1740;mq;mq;mq;
07168;20170301000000;100420;80;3;220;9.200000;279.450000;276.650000;82;20000;0;mq;mq;100;6;800;mq;mq;mq;98990;mq;mq;640;mq;mq;mq;mq;276.450000;mq;mq;12.200000;15.500000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.200000;2.200000;mq;mq;mq;mq;1;mq;960;6;mq;1410;8;mq;1800;mq;mq;mq;
07181;20170301000000;100390;60;0;210;9.300000;276.150000;274.950000;92;14710;0;mq;mq;100;7;450;mq;mq;mq;96250;mq;mq;550;mq;mq;mq;mq;275.150000;mq;mq;13.000000;14.000000;-10;mq;mq;mq;mq;0.200000;0.200000;0.600000;2.600000;5.000000;mq;mq;mq;mq;2;mq;450;6;mq;630;7;mq;900;mq;8;mq;
07190;20170301000000;100480;170;1;210;7.000000;278.650000;274.150000;73;60000;0;mq;mq;100;5;1250;mq;mq;mq;98650;mq;mq;520;mq;mq;mq;mq;276.150000;mq;mq;10.500000;13.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.600000;1.800000;6.100000;mq;mq;mq;mq;5;mq;1170;6;mq;1560;7;mq;2520;mq;mq;mq;
07207;20170301000000;100890;100;1;270;11.800000;283.650000;279.450000;75;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100370;mq;mq;1100;mq;mq;mq;mq;mq;mq;mq;18.700000;20.200000;-10;mq;mq;mq;mq;0.000000;0.600000;1.800000;2.000000;5.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20170301000000;100930;130;1;260;4.500000;281.650000;279.250000;85;8000;63;mq;mq;100;6;800;mq;mq;mq;100610;mq;mq;1000;mq;mq;mq;mq;278.350000;mq;mq;6.400000;10.200000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;0.400000;0.400000;3.400000;mq;mq;mq;mq;2;mq;870;6;mq;1260;8;mq;1680;mq;8;mq;
07240;20170301000000;100770;180;1;240;6.200000;280.750000;278.050000;83;41780;0;mq;mq;100;8;800;mq;mq;mq;99410;mq;mq;790;mq;mq;mq;mq;277.450000;mq;mq;10.000000;10.600000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.200000;6.600000;mq;mq;mq;mq;6;mq;600;7;mq;810;8;mq;1470;mq;mq;mq;
07255;20170301000000;100840;70;3;240;9.300000;279.950000;276.150000;77;20000;0;mq;mq;100;2;800;mq;mq;mq;98830;mq;mq;680;mq;mq;mq;mq;276.750000;mq;mq;14.700000;16.300000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.400000;5.600000;mq;mq;mq;mq;1;mq;720;8;mq;1980;mq;mq;mq;mq;mq;mq;
07280;20170301000000;100800;60;1;180;5.100000;278.050000;274.750000;79;60000;0;mq;mq;100;7;800;mq;mq;mq;98040;mq;mq;610;mq;mq;mq;mq;275.950000;mq;mq;7.700000;8.700000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;1.400000;4.200000;mq;mq;mq;mq;7;mq;780;8;mq;1800;mq;8;mq;mq;mq;mq;
07299;20170301000000;100800;200;1;230;3.400000;277.750000;273.350000;73;60000;0;mq;mq;75;6;1750;mq;mq;mq;97490;mq;mq;740;mq;mq;mq;mq;276.050000;mq;mq;6.500000;7.300000;-10;mq;0.000000;mq;mq;0.000000;0.000000;1.200000;7.500000;23.600000;mq;mq;mq;mq;1;mq;1560;3;mq;5040;6;mq;6420;mq;mq;mq;
07314;20170301000000;101230;80;1;260;10.500000;282.850000;279.150000;78;12000;1;0;mq;25;2;800;31;20;10;100950;mq;mq;1020;mq;mq;mq;mq;mq;mq;mq;13.500000;16.100000;-10;2;mq;mq;mq;0.200000;0.200000;0.200000;0.200000;2.100000;mq;mq;mq;mq;2;8;850;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20170301000000;101100;130;3;240;6.100000;280.350000;277.950000;85;19780;0;mq;mq;100;8;800;mq;mq;mq;99640;mq;mq;890;mq;mq;mq;mq;276.450000;mq;mq;8.800000;12.400000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;9.500000;mq;mq;mq;mq;5;mq;960;7;mq;1200;7;mq;1500;mq;8;mq;
